WARN  2013-03-31 20:41:28,312 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
WARN  2013-03-31 20:41:31,584 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
WARN  2013-03-31 20:41:31,679 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
WARN  2013-03-31 20:41:32,814 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
WARN  2013-03-31 20:41:32,960 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
WARN  2013-03-31 20:41:33,014 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
WARN  2013-03-31 20:41:33,059 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
WARN  2013-03-31 20:41:33,116 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
ERROR 2013-03-31 20:41:35,421 [pool-1-thread-1] - runtimeError: message=[The data necessary to complete this operation is not yet available.] sourceName=[http://hm.baidu.com/h.js?5faade0d566fcec8b00f8d195be751aa] line=[1] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:41:37,728 [pool-1-thread-1] - Unimplemented behavior: #default#userData
WARN  2013-03-31 20:41:37,934 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:41:37,934 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://hm.baidu.com/h.js?5faade0d566fcec8b00f8d195be751aa] line=[10] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:41:39,283 [pool-1-thread-1] - Obsolete content type encountered: 'text/javascript'.
ERROR 2013-03-31 20:41:39,321 [pool-1-thread-1] - runtimeError: message=[The data necessary to complete this operation is not yet available.] sourceName=[http://share.baidu.com/static/js/shell_v2.js?t=20] line=[1] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:41:39,353 [pool-1-thread-1] - Obsolete content type encountered: 'text/javascript'.
WARN  2013-03-31 20:41:39,960 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
WARN  2013-03-31 20:41:41,571 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
